Word/Document,Word/Document,Cosine_Similarity
technology.","robotics.",0.6917920459
technology.","evolution.",0.5148089882
technology.","food.",0.4987571202
technology.","symphony.",0.4152693074
technology.","algorithm.",0.5630677437
technology.","photosynthesis.",0.4102738652
technology.","neuron.",0.4566131161
technology.","astronomy.",0.4487802511
technology.","dishes.",0.4237332013
technology.","algebra.",0.4271640708
technology.","composition.",0.428535249
technology.","quantum.",0.4379219347
technology.","songs.",0.3697624527
technology.","satellite.",0.4210283836
biology.","robotics.",0.5425072032
biology.","evolution.",0.7260707032
biology.","food.",0.5275007966
biology.","symphony.",0.4080307883
biology.","algorithm.",0.4718404811
biology.","photosynthesis.",0.5865506416
biology.","neuron.",0.5447669785
biology.","astronomy.",0.4974753161
biology.","dishes.",0.4049509361
biology.","algebra.",0.461619326
biology.","composition.",0.4509830073
biology.","quantum.",0.4318392047
biology.","songs.",0.3500414636
biology.","satellite.",0.3693196907
restuarnt.","robotics.",0.3806561926
restuarnt.","evolution.",0.3620978514
restuarnt.","food.",0.7254228663
restuarnt.","symphony.",0.4228103526
restuarnt.","algorithm.",0.4061612468
restuarnt.","photosynthesis.",0.3545497015
restuarnt.","neuron.",0.349900431
restuarnt.","astronomy.",0.3639137121
restuarnt.","dishes.",0.5480262019
restuarnt.","algebra.",0.3577538422
restuarnt.","composition.",0.3488541574
restuarnt.","quantum.",0.3288771272
restuarnt.","songs.",0.3254546951
restuarnt.","satellite.",0.3244008095
mathematics.","robotics.",0.5145378551
mathematics.","evolution.",0.4758333466
mathematics.","food.",0.504588312
mathematics.","symphony.",0.60369614
mathematics.","algorithm.",0.6026624609
mathematics.","photosynthesis.",0.4274475784
mathematics.","neuron.",0.4563588382
mathematics.","astronomy.",0.5576096041
mathematics.","dishes.",0.4433672697
mathematics.","algebra.",0.6481305612
mathematics.","composition.",0.4689853888
mathematics.","quantum.",0.4816544546
mathematics.","songs.",0.3332113434
mathematics.","satellite.",0.3545315778
arts  music.","robotics.",0.3619436679
arts  music.","evolution.",0.3551203404
arts  music.","food.",0.4667547877
arts  music.","symphony.",0.6010451176
arts  music.","algorithm.",0.4873659807
arts  music.","photosynthesis.",0.4052213595
arts  music.","neuron.",0.3546213625
arts  music.","astronomy.",0.4689183499
arts  music.","dishes.",0.4409481799
arts  music.","algebra.",0.4015554982
arts  music.","composition.",0.4910189313
arts  music.","quantum.",0.3370678849
arts  music.","songs.",0.5484867468
arts  music.","satellite.",0.2937929558
Document_Similarity --> 0.45380513354814284
